"19E26'17""";"51N45'50""";1061011
"22E33'35""";"51N15'51""";0663011
"20E56'49""";"52N14'39""";1465011
"21E02'29""";"52N12'37""";1465011
"17E54'50""";"53N05'42""";0403012
"19E40'23""";"52N33'06""";1462011
"21E03'54""";"52N08'14""";1407022
"21E01'00""";"52N04'50""";1418044
"21E06'31""";"52N17'56""";1434031
"20E47'53""";"52N12'25""";1432064
"20E55'32""";"52N11'45""";1465011
"21E01'59""";"52N14'16""";1465011
"20E59'03""";"52N16'04""";1465011
"21E03'57""";"52N15'00""";1465011
"20E37'06""";"52N11'54""";1216092
"20E56'43""";"52N14'32""";1465011
"20E58'47""";"52N11'23""";1465011
"21E07'08""";"52N20'18""";1434021
"20E56'19""";"52N17'32""";1465011
"21E00'28""";"52N14'53""";1465011
"21E17'36""";"52N09'58""";1417082
"20E57'16""";"52N16'12""";1465011
"20E56'25""";"52N14'01""";1465011
"21E04'19""";"52N17'01""";1465011
"20E58'10""";"52N13'38""";1465011
"20E55'12""";"52N15'41""";1465011
"20E58'52""";"52N14'19""";1465011
"21E02'13""";"52N08'27""";1465011
"21E04'56""";"52N18'21""";1465011
"21E57'02""";"53N48'52""";2816024
"21E07'28""";"52N09'23""";1465011
"20E50'49""";"52N11'28""";1421011
"20E52'09""";"52N20'26""";1432054
"21E03'47""";"52N30'30""";1408044
"21E03'56""";"52N13'51""";1465011
"20E59'11""";"52N13'22""";1465011
"18E30'27""";"54N28'12""";2262011
"18E32'39""";"54N27'25""";2264011
"18E36'19""";"54N24'21""";2261011
"18E36'52""";"54N20'13""";2261011
"18E35'29""";"54N21'24""";2261011
"18E37'58""";"54N19'23""";2261011
"19E06'50""";"50N14'32""";2470011
"19E59'48""";"50N05'05""";1261011
"19E56'04""";"50N01'37""";1261011
"19E08'05""";"49N37'37""";2417152
"18E53'46""";"49N37'11""";2002032
"19E36'38""";"49N43'49""";1215021
"18E59'24""";"50N15'44""";2469011
"19E09'40""";"50N19'43""";2401011
"19E02'43""";"50N15'30""";2469011
"18E55'49""";"50N17'10""";2476011
"19E12'21""";"50N19'52""";2465011
